Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Decor,decor,61ce6d47d8bcd37a32d2a19b,61ce6d7dfb6a10f8caf8e76f,Fri Dec 31 2021 02:39:57 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 02:39:57 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 03:10:25 GMT+0000 (Coordinated Universal Time)
Furniture,furniture,61ce6d47d8bcd37a32d2a19b,61ce6d718cdf72018d56fa2d,Fri Dec 31 2021 02:39:45 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 02:39:45 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 03:10:25 GMT+0000 (Coordinated Universal Time)
Office,office,61ce6d47d8bcd37a32d2a19b,61ce6da157f5527112a0a0c0,Fri Dec 31 2021 02:40:33 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 03:16:31 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 03:17:01 GMT+0000 (Coordinated Universal Time)
Tech,tech,61ce6d47d8bcd37a32d2a19b,61ce6da703a8ee0ed4aa22c9,Fri Dec 31 2021 02:40:39 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 03:16:26 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 03:17:01 GMT+0000 (Coordinated Universal Time)
